venue_id,venue_name,venue_chi,type,geojson_url,shapefile_url,revision
2bc15dfc-bd37-4c4b-8d1f-0e961caa1dfc,83 Tai Lin Pai Road,83 大連排道,businesscampus,https://download.map.gov.hk/api/3d-indoor-zip/GEOJSON/2bc15dfc-bd37-4c4b-8d1f-0e961caa1dfc/83%20Tai%20Lin%20Pai%20Road.zip?key=ad5940a63bd344c48b0351ef1c7a905e,https://download.map.gov.hk/api/3d-indoor-zip/SHP/2bc15dfc-bd37-4c4b-8d1f-0e961caa1dfc/83%20Tai%20Lin%20Pai%20Road.zip?key=ad5940a63bd344c48b0351ef1c7a905e,20250327
b9b2f6ff-582d-40b0-b82d-027e950e6791,Admiralty Station,金鐘鐵路站,trainstation,https://download.map.gov.hk/api/3d-indoor-zip/GEOJSON/b9b2f6ff-582d-40b0-b82d-027e950e6791/Admiralty%20Station.zip?key=ad5940a63bd344c48b0351ef1c7a905e,https://download.map.gov.hk/api/3d-indoor-zip/SHP/b9b2f6ff-582d-40b0-b82d-027e950e6791/Admiralty%20Station.zip?key=ad5940a63bd344c48b0351ef1c7a905e,20251105
669659e0-4b83-4113-a116-b45db6d5794d,CCT Telecom Building,中建電訊大廈,businesscampus,https://download.map.gov.hk/api/3d-indoor-zip/GEOJSON/669659e0-4b83-4113-a116-b45db6d5794d/CCT%20Telecom%20Building.zip?key=ad5940a63bd344c48b0351ef1c7a905e,https://download.map.gov.hk/api/3d-indoor-zip/SHP/669659e0-4b83-4113-a116-b45db6d5794d/CCT%20Telecom%20Building.zip?key=ad5940a63bd344c48b0351ef1c7a905e,20250327
00fe3d57-a38d-4b5a-8f27-15045af7380b,COS Centre,中海日升中心,businesscampus,https://download.map.gov.hk/api/3d-indoor-zip/GEOJSON/00fe3d57-a38d-4b5a-8f27-15045af7380b/COS%20Centre.zip?key=ad5940a63bd344c48b0351ef1c7a905e,https://download.map.gov.hk/api/3d-indoor-zip/SHP/00fe3d57-a38d-4b5a-8f27-15045af7380b/COS%20Centre.zip?key=ad5940a63bd344c48b0351ef1c7a905e,20250327
402d0a0a-e6df-4a19-952d-6fc371dedc2e,Causeway Bay Station,銅鑼灣鐵路站,trainstation,https://download.map.gov.hk/api/3d-indoor-zip/GEOJSON/402d0a0a-e6df-4a19-952d-6fc371dedc2e/Causeway%20Bay%20Station.zip?key=ad5940a63bd344c48b0351ef1c7a905e,https://download.map.gov.hk/api/3d-indoor-zip/SHP/402d0a0a-e6df-4a19-952d-6fc371dedc2e/Causeway%20Bay%20Station.zip?key=ad5940a63bd344c48b0351ef1c7a905e,20251105
c1a340b1-0065-411c-892b-39c5a8bd4142,Centre Parc,新明大廈,businesscampus,https://download.map.gov.hk/api/3d-indoor-zip/GEOJSON/c1a340b1-0065-411c-892b-39c5a8bd4142/Centre%20Parc.zip?key=ad5940a63bd344c48b0351ef1c7a905e,https://download.map.gov.hk/api/3d-indoor-zip/SHP/c1a340b1-0065-411c-892b-39c5a8bd4142/Centre%20Parc.zip?key=ad5940a63bd344c48b0351ef1c7a905e,20250327
c0f44c5a-428f-4aad-b685-e17cb03a9971,Cheung Wah Industrial Building,長華工業大廈,businesscampus,https://download.map.gov.hk/api/3d-indoor-zip/GEOJSON/c0f44c5a-428f-4aad-b685-e17cb03a9971/Cheung%20Wah%20Industrial%20Building.zip?key=ad5940a63bd344c48b0351ef1c7a905e,https://download.map.gov.hk/api/3d-indoor-zip/SHP/c0f44c5a-428f-4aad-b685-e17cb03a9971/Cheung%20Wah%20Industrial%20Building.zip?key=ad5940a63bd344c48b0351ef1c7a905e,20250327
cd730608-8a49-4d4e-b440-77d0c00c74e8,Chinachem Tsuen Wan Plaza,華懋荃灣廣場,businesscampus,https://download.map.gov.hk/api/3d-indoor-zip/GEOJSON/cd730608-8a49-4d4e-b440-77d0c00c74e8/Chinachem%20Tsuen%20Wan%20Plaza.zip?key=ad5940a63bd344c48b0351ef1c7a905e,https://download.map.gov.hk/api/3d-indoor-zip/SHP/cd730608-8a49-4d4e-b440-77d0c00c74e8/Chinachem%20Tsuen%20Wan%20Plaza.zip?key=ad5940a63bd344c48b0351ef1c7a905e,20250327
069568ca-7779-44ea-8773-7a6d9a0839b5,Everest Industrial Centre,毅力工業中心,businesscampus,https://download.map.gov.hk/api/3d-indoor-zip/GEOJSON/069568ca-7779-44ea-8773-7a6d9a0839b5/Everest%20Industrial%20Centre.zip?key=ad5940a63bd344c48b0351ef1c7a905e,https://download.map.gov.hk/api/3d-indoor-zip/SHP/069568ca-7779-44ea-8773-7a6d9a0839b5/Everest%20Industrial%20Centre.zip?key=ad5940a63bd344c48b0351ef1c7a905e,20250327
44b25699-624e-461b-a452-bba3f796fa23,Grand Central Plaza,新城市中央廣場,shoppingcenter,https://download.map.gov.hk/api/3d-indoor-zip/GEOJSON/44b25699-624e-461b-a452-bba3f796fa23/Grand%20Central%20Plaza.zip?key=ad5940a63bd344c48b0351ef1c7a905e,https://download.map.gov.hk/api/3d-indoor-zip/SHP/44b25699-624e-461b-a452-bba3f796fa23/Grand%20Central%20Plaza.zip?key=ad5940a63bd344c48b0351ef1c7a905e,20250327
