park_id,name,address,district,latitude,longitude
tdc132p1,Yan Chai Hospital Visitor Carpark,"7-11 Yan Chai Street, Tsuen Wan, N.T.",Tsuen Wan,22.3698595,114.11949
tdc14p5135,Yan Ming Court Car Park,"Yan Ming Court Retail and Car Park, 100 Po Lam Road North, Tseung Kwan O, New Territories",Sai Kung,22.324448,114.259057
tdc14p6729,Yat Tung Car Park 1,"Yat Tung Shopping Centre, 8 Yat Tung Street, Tung Chung, New Territories",Islands,22.281096,113.938628
tdc14p6728,Yat Tung Car Park 2 & 3 (Sin Yat),"Yat Tung Shopping Centre, 8 Yat Tung Street, Tung Chung, New Territories",Islands,22.28116,113.935776
27,Yau Lai Shopping Centre Carpark,"LG1 & LG2, Yau Lai Shopping Centre, 9 Yau Tong, Yau Tong, Kowloon, Yau Tong, KLN",Kwun Tong District,22.2985121,114.2374009
tdc14p5727,Yin Lai Car Park,"Yin Lai Court Shopping Centre, 180 Lai King Hill Road, Kwai Chung, New Territories",Kwai Tsing,22.3487509,114.1263136
tdc14p5904,Ying Fuk Car Park,"Ying Fuk Court Retail and Car Park, 17 Wing Chuk Street, Wong Tai Sin, Kowloon",Wong Tai Sin,22.3465041,114.1955064
tdc14p5136,Ying Ming Court Car Park,"Ying Ming Court Car Park, 20 Po Lam Road North, Tseung Kwan O, New Territories",Sai Kung,22.325824,114.25679
tdc14p2106,Yiu On Car Park,"Yiu On Shopping Centre, 2 Hang Hong Street, Ma On Shan, Sha Tin, New Territories",Sha Tin,22.420482,114.230566
tdc14p1016,Yiu Tung Car Park 1,"Yiu Tung Shopping Centre, 12 Yiu Hing Road, Shau Kei Wan, Hong Kong",Eastern,22.2782179,114.2224142
tdc14p1037,Yiu Tung Car Park 2,"Yiu Tung Shopping Centre, 12 Yiu Hing Road, Shau Kei Wan, Hong Kong",Eastern,22.277303,114.225057
tdc14p4220,Yu Chui Car Park B,"Yu Chui Shopping Centre, 2 Ngau Pei Sha Street, Siu Lek Yuen, Sha Tin, New Territories",Sha Tin,22.3799934,114.2052629
tdc25p46,Yue Man Square,"33 Hip Wo Street, Kwun Tong, Kowloon",Kwun Tong,22.314483,114.224893
tdc136p1,Yung Ming Court Car Park,"5 Chi Shin Street, Tseung Kwan O,  New Territories",Sai Kung,22.3045267,114.2639546
